CITREC,15,4.66614921069936
CITREC,20,4.2075059597486435
CITREC,25,3.858940338169491
CITREC,30,3.586492248421803
CITREC,35,3.360709705519097
CITREC,40,3.170296982355977
CITREC,45,3.0119834852134293
CITREC,50,2.8847540140114205
CITREC,55,2.7695555749345115
dblp,20,5.790283457099267
dblp,25,5.601463070744646
dblp,30,5.444253187056499
dblp,35,5.308125744035009
dblp,40,5.189644035294909
dblp,45,5.085529373565395
dblp,50,4.99373148348693
dblp,55,4.9117510243013145
acm,15,4.677053515862991
acm,20,4.409045979153175
acm,25,4.190867712838123
acm,30,4.009331316926499
acm,35,3.8543353341893747
acm,40,3.7198001975258626
acm,45,3.601092001387924
acm,50,3.4947898152899426
acm,55,3.3978233017063997
EconBiz,1,2.0590876358085795
EconBiz,2,2.049350531434839
EconBiz,3,2.0361924264492925
EconBiz,4,2.0234027019103027
EconBiz,5,2.008438275046251
EconBiz,10,1.9471436234367554
EconBiz,15,1.893721401094339
EconBiz,20,1.8526828027350792
IREON,1,1.5155694207276322
IREON,2,1.5029220497899545
IREON,3,1.4903417562602936
IREON,4,1.480254727049906
IREON,5,1.4695523162677895
IREON,10,1.4238764384220493
IREON,15,1.3862670675201196
IREON,20,1.3528431120432007
Reuters,1,1.1639243092018587
Reuters,2,1.1639243092018587
Reuters,3,1.1639243092018587
Reuters,4,1.1639243092018587
Reuters,5,1.1639243092018587
Reuters,10,1.1639192773995146
Reuters,15,1.1639192773995146
Reuters,20,1.1639192773995146
