CITREC,15,0.44791811241471347
CITREC,20,0.4265425710182068
CITREC,25,0.40917173300332577
CITREC,30,0.39578561231194903
CITREC,35,0.38386754953050345
CITREC,40,0.37369071082754857
CITREC,45,0.3652217611440007
CITREC,50,0.35868247109608137
CITREC,55,0.3522559803565989
dblp,20,0.4878996351498611
dblp,25,0.4807748776496643
dblp,30,0.4749710054049615
dblp,35,0.47003564047914614
dblp,40,0.4658499275617402
dblp,45,0.4622254440369499
dblp,50,0.4591205253814723
dblp,55,0.45642801317004145
acm,15,0.4742755273574158
acm,20,0.4650073696125613
acm,25,0.45780398738838934
acm,30,0.4520738994490564
acm,35,0.44738783252271325
acm,40,0.4434656262197591
acm,45,0.4401672748556335
acm,50,0.43742806240367904
acm,55,0.4350740949118282
EconBiz,1,0.29701259590224494
EconBiz,2,0.29596388089258513
EconBiz,3,0.294586140695064
EconBiz,4,0.2932611613960953
EconBiz,5,0.2917384029441617
EconBiz,10,0.2856716464537566
EconBiz,15,0.2806163717128877
EconBiz,20,0.27683624787003974
IREON,1,0.19772909492573554
IREON,2,0.19636347468226084
IREON,3,0.1950224832815731
IREON,4,0.19396077710453669
IREON,5,0.192837828674715
IREON,10,0.18810788593493
IREON,15,0.18427052688705559
IREON,20,0.18091184313062394
Reuters,1,0.3206887574493025
Reuters,2,0.3206887574493025
Reuters,3,0.3206887574493025
Reuters,4,0.3206887574493025
Reuters,5,0.3206887574493025
Reuters,10,0.3206892845480402
Reuters,15,0.3206892845480402
Reuters,20,0.3206892845480402
